From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Proteomes
A0ABW0XRA3	A0ABW0XRA3	unreviewed	A0ABW0XRA3_9ACTN	AlkA N-terminal domain-containing protein	ACFP2V_19560	Streptomyces incanus	506	UP001596183: Unassembled WGS sequence
A0ABW0XXQ4	A0ABW0XXQ4	unreviewed	A0ABW0XXQ4_9ACTN	Bifunctional transcriptional activator/DNA repair enzyme AdaA	ACFP2V_29445	Streptomyces incanus	485	UP001596183: Unassembled WGS sequence
A0ABW0YDG2	A0ABW0YDG2	unreviewed	A0ABW0YDG2_9GAMM	AlkA N-terminal domain-containing protein	ACFPVW_11100	Aeromonas eucrenophila	504	UP001596132: Unassembled WGS sequence
A0ABW0YSH4	A0ABW0YSH4	unreviewed	A0ABW0YSH4_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFP1Z_02800	Streptomyces gamaensis	505	UP001596083: Unassembled WGS sequence
A0ABW0ZI43	A0ABW0ZI43	unreviewed	A0ABW0ZI43_9ACTN	AlkA N-terminal domain-containing protein	ACFPQB_12510	Nocardioides vastitatis	495	UP001596072: Unassembled WGS sequence
A0ABW0ZQT3	A0ABW0ZQT3	unreviewed	A0ABW0ZQT3_9ACTN	AlkA N-terminal domain-containing protein	ACFPZN_05145	Actinomadura rugatobispora	490	UP001596074: Unassembled WGS sequence
A0ABW1AS57	A0ABW1AS57	unreviewed	A0ABW1AS57_9RHOO	DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21)	alkA ACFPTN_10345	Thauera sinica	484	UP001595974: Unassembled WGS sequence
A0ABW1B6U9	A0ABW1B6U9	unreviewed	A0ABW1B6U9_9ACTN	AlkA N-terminal domain-containing protein	ACFQGO_14655	Streptomyces heilongjiangensis	502	UP001596112: Unassembled WGS sequence
A0ABW1BDW2	A0ABW1BDW2	unreviewed	A0ABW1BDW2_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFQGO_27600	Streptomyces heilongjiangensis	501	UP001596112: Unassembled WGS sequence
A0ABW1BQX8	A0ABW1BQX8	unreviewed	A0ABW1BQX8_9ACTN	AlkA N-terminal domain-containing protein	ACFPUY_10235	Nonomuraea harbinensis	474	UP001596096: Unassembled WGS sequence
A0ABW1CPM0	A0ABW1CPM0	unreviewed	A0ABW1CPM0_9ACTN	AlkA N-terminal domain-containing protein	ACFPZ3_22835	Nonomuraea insulae	466	UP001596058: Unassembled WGS sequence
A0ABW1CV36	A0ABW1CV36	unreviewed	A0ABW1CV36_9ACTN	Helix-turn-helix domain-containing protein	ACFPZ3_32920	Nonomuraea insulae	360	UP001596058: Unassembled WGS sequence
A0ABW1CXB4	A0ABW1CXB4	unreviewed	A0ABW1CXB4_9ACTN	Bifunctional transcriptional activator/DNA repair enzyme AdaA	ACFPZ3_37795	Nonomuraea insulae	488	UP001596058: Unassembled WGS sequence
A0ABW1E301	A0ABW1E301	unreviewed	A0ABW1E301_9ACTN	Bifunctional transcriptional activator/DNA repair enzyme AdaA	ACFPZI_26720	Streptomyces chlorus	484	UP001596180: Unassembled WGS sequence
A0ABW1E8C2	A0ABW1E8C2	unreviewed	A0ABW1E8C2_9ACTN	AlkA N-terminal domain-containing protein	ACFPZI_34640	Streptomyces chlorus	506	UP001596180: Unassembled WGS sequence
A0ABW1EM87	A0ABW1EM87	unreviewed	A0ABW1EM87_9BACT	DNA-3-methyladenine glycosylase family protein	ACFPT7_23835	Acidicapsa dinghuensis	296	UP001596091: Unassembled WGS sequence
A0ABW1EPY1	A0ABW1EPY1	unreviewed	A0ABW1EPY1_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFP0N_02485	Kitasatospora aburaviensis	506	UP001596067: Unassembled WGS sequence
A0ABW1FNW2	A0ABW1FNW2	unreviewed	A0ABW1FNW2_9ACTN	AlkA N-terminal domain-containing protein	ACFP3M_25385	Streptomyces ramulosus	487	UP001596241: Unassembled WGS sequence
A0ABW1FV13	A0ABW1FV13	unreviewed	A0ABW1FV13_9ACTN	AlkA N-terminal domain-containing protein	ACFP3M_30485	Streptomyces ramulosus	490	UP001596241: Unassembled WGS sequence
A0ABW1G4Z1	A0ABW1G4Z1	unreviewed	A0ABW1G4Z1_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFP3V_15360	Streptacidiphilus monticola	486	UP001596174: Unassembled WGS sequence
A0ABW1GKF4	A0ABW1GKF4	unreviewed	A0ABW1GKF4_9ACTN	AlkA N-terminal domain-containing protein	ACFP1B_13200	Streptomyces pulveraceus	490	UP001596200: Unassembled WGS sequence
A0ABW1GV11	A0ABW1GV11	unreviewed	A0ABW1GV11_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFP1B_31670	Streptomyces pulveraceus	449	UP001596200: Unassembled WGS sequence
A0ABW1GY68	A0ABW1GY68	unreviewed	A0ABW1GY68_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFQGL_01940	Micromonospora vulcania	498	UP001596226: Unassembled WGS sequence
A0ABW1HPL8	A0ABW1HPL8	unreviewed	A0ABW1HPL8_9ACTN	AlkA N-terminal domain-containing protein	ACFPZ4_12525	Micromonospora harpali	474	UP001596207: Unassembled WGS sequence
A0ABW1I9Y3	A0ABW1I9Y3	unreviewed	A0ABW1I9Y3_9PSEU	AlkA N-terminal domain-containing protein	ACFQH9_17525	Pseudonocardia lutea	493	UP001596119: Unassembled WGS sequence
A0ABW1IZH0	A0ABW1IZH0	unreviewed	A0ABW1IZH0_9PSEU	AlkA N-terminal domain-containing protein	ACFQE5_06815	Pseudonocardia hispaniensis	510	UP001596302: Unassembled WGS sequence
A0ABW1JE03	A0ABW1JE03	unreviewed	A0ABW1JE03_9ACTN	DNA-3-methyladenine glycosylase family protein	ACFQDO_09760	Angustibacter luteus	278	UP001596189: Unassembled WGS sequence
A0ABW1K0K9	A0ABW1K0K9	unreviewed	A0ABW1K0K9_9NOCA	DNA-3-methyladenine glycosylase 2 family protein	ACFP3H_23350	Nocardia lasii	573	UP001596223: Unassembled WGS sequence
A0ABW1K1N7	A0ABW1K1N7	unreviewed	A0ABW1K1N7_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFP2T_01585	Plantactinospora solaniradicis	502	UP001596203: Unassembled WGS sequence
A0ABW1LIW1	A0ABW1LIW1	unreviewed	A0ABW1LIW1_9ACTN	AlkA N-terminal domain-containing protein	ACFPYL_09600	Nocardioides hankookensis	501	UP001596135: Unassembled WGS sequence
A0ABW1M4U6	A0ABW1M4U6	unreviewed	A0ABW1M4U6_9ACTN	AlkA N-terminal domain-containing protein	ACFP50_26480	Streptomyces pratens	467	UP001596242: Unassembled WGS sequence
A0ABW1M756	A0ABW1M756	unreviewed	A0ABW1M756_9ACTN	AlkA N-terminal domain-containing protein	ACFP50_30080	Streptomyces pratens	512	UP001596242: Unassembled WGS sequence
A0ABW1MTM3	A0ABW1MTM3	unreviewed	A0ABW1MTM3_9ACTN	AlkA N-terminal domain-containing protein	ACFP4F_29930	Streptomyces ochraceiscleroticus	508	UP001596139: Unassembled WGS sequence
A0ABW1MU19	A0ABW1MU19	unreviewed	A0ABW1MU19_9ACTN	Ada metal-binding domain-containing protein	ACFP4F_30715	Streptomyces ochraceiscleroticus	503	UP001596139: Unassembled WGS sequence
A0ABW1NCJ1	A0ABW1NCJ1	unreviewed	A0ABW1NCJ1_9ACTN	AlkA N-terminal domain-containing protein	ACFP1K_06465	Sphaerisporangium aureirubrum	563	UP001596137: Unassembled WGS sequence
A0ABW1P6Q0	A0ABW1P6Q0	unreviewed	A0ABW1P6Q0_9PSEU	DNA-3-methyladenine glycosylase 2 family protein	ACFP3R_17635	Saccharothrix lopnurensis	485	UP001596220: Unassembled WGS sequence
A0ABW1PGP3	A0ABW1PGP3	unreviewed	A0ABW1PGP3_9PSEU	DNA-3-methyladenine glycosylase 2 family protein	ACFP3R_36580	Saccharothrix lopnurensis	422	UP001596220: Unassembled WGS sequence
A0ABW1Q038	A0ABW1Q038	unreviewed	A0ABW1Q038_9ENTR	DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21)	alkA ACFPZP_09465	Citrobacter bitternis	282	UP001596169: Unassembled WGS sequence
A0ABW1QL09	A0ABW1QL09	unreviewed	A0ABW1QL09_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFPYK_08020	Mumia xiangluensis	493	UP001596097: Unassembled WGS sequence
A0ABW1T223	A0ABW1T223	unreviewed	A0ABW1T223_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFQGU_12865	Longivirga aurantiaca	503	UP001596138: Unassembled WGS sequence
A0ABW1U0Y8	A0ABW1U0Y8	unreviewed	A0ABW1U0Y8_9BURK	Ada metal-binding domain-containing protein	ACFQND_19805	Polaromonas aquatica	537	UP001596270: Unassembled WGS sequence
A0ABW1VHL5	A0ABW1VHL5	unreviewed	A0ABW1VHL5_9MICO	AlkA N-terminal domain-containing protein	ACFQB0_14420	Luethyella okanaganae	513	UP001596306: Unassembled WGS sequence
A0ABW1VYQ6	A0ABW1VYQ6	unreviewed	A0ABW1VYQ6_9GAMM	AlkA N-terminal domain-containing protein	ACFP9W_10275	Tatumella terrea	490	UP001596230: Unassembled WGS sequence
A0ABW1WT73	A0ABW1WT73	unreviewed	A0ABW1WT73_9HYPH	DNA-3-methyladenine glycosylase family protein	ACFQDP_19495	Methylorubrum zatmanii	308	UP001596237: Unassembled WGS sequence
A0ABW1XAL7	A0ABW1XAL7	unreviewed	A0ABW1XAL7_9CELL	DNA-3-methyladenine glycosylase family protein	ACFP71_12765	Oerskovia paurometabola	312	UP001596305: Unassembled WGS sequence
A0ABW1XHK7	A0ABW1XHK7	unreviewed	A0ABW1XHK7_9ALTE	DNA-3-methyladenine glycosylase 2 family protein	ACFP85_00575	Pseudobowmanella zhangzhouensis	444	UP001596364: Unassembled WGS sequence
A0ABW1Y5Z6	A0ABW1Y5Z6	unreviewed	A0ABW1Y5Z6_STRPL	AlkA N-terminal domain-containing protein	ACFQFF_30610	Streptomyces plicatus	490	UP001596321: Unassembled WGS sequence
A0ABW1Y666	A0ABW1Y666	unreviewed	A0ABW1Y666_STRPL	Bifunctional transcriptional activator/DNA repair enzyme AdaA	ACFQFF_27910	Streptomyces plicatus	474	UP001596321: Unassembled WGS sequence
A0ABW1YU63	A0ABW1YU63	unreviewed	A0ABW1YU63_9GAMM	AlkA N-terminal domain-containing protein	ACFQBM_17670	Microbulbifer taiwanensis	502	UP001596425: Unassembled WGS sequence
A0ABW2ABD6	A0ABW2ABD6	unreviewed	A0ABW2ABD6_9MICO	AlkA N-terminal domain-containing protein	ACFQDH_02320	Flexivirga alba	499	UP001596298: Unassembled WGS sequence
A0ABW2ANS9	A0ABW2ANS9	unreviewed	A0ABW2ANS9_9MICO	AlkA N-terminal domain-containing protein	ACFQBT_02135	Branchiibius cervicis	487	UP001596356: Unassembled WGS sequence
A0ABW2BSH8	A0ABW2BSH8	unreviewed	A0ABW2BSH8_9HYPH	DNA-3-methyladenine glycosylase family protein	ACFQE0_23550	Methylobacterium komagatae	302	UP001596292: Unassembled WGS sequence
A0ABW2BWL5	A0ABW2BWL5	unreviewed	A0ABW2BWL5_9PSEU	DNA-3-methyladenine glycosylase 2 family protein	ACFQGD_09895	Haloechinothrix salitolerans	521	UP001596337: Unassembled WGS sequence
A0ABW2CXA9	A0ABW2CXA9	unreviewed	A0ABW2CXA9_9ACTN	AlkA N-terminal domain-containing protein	ACFQKB_34580	Actinomadura yumaensis	490	UP001596380: Unassembled WGS sequence
A0ABW2DH68	A0ABW2DH68	unreviewed	A0ABW2DH68_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFQS3_22885	Glycomyces mayteni	505	UP001596470: Unassembled WGS sequence
A0ABW2DQZ7	A0ABW2DQZ7	unreviewed	A0ABW2DQZ7_9ACTN	AlkA N-terminal domain-containing protein	ACFQMH_00690	Streptomyces viridiviolaceus	482	UP001596409: Unassembled WGS sequence
A0ABW2DWC1	A0ABW2DWC1	unreviewed	A0ABW2DWC1_9ACTN	AlkA N-terminal domain-containing protein	ACFQMH_10675	Streptomyces viridiviolaceus	494	UP001596409: Unassembled WGS sequence
A0ABW2EQY0	A0ABW2EQY0	unreviewed	A0ABW2EQY0_9GAMM	AlkA N-terminal domain-containing protein	ACFQH5_01945	Halomonas salifodinae	461	UP001596411: Unassembled WGS sequence
A0ABW2G8J7	A0ABW2G8J7	unreviewed	A0ABW2G8J7_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFQMG_32360	Kitasatospora paranensis	561	UP001596435: Unassembled WGS sequence
A0ABW2GL69	A0ABW2GL69	unreviewed	A0ABW2GL69_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFQLX_19830	Streptomyces polyrhachis	494	UP001596413: Unassembled WGS sequence
A0ABW2GR70	A0ABW2GR70	unreviewed	A0ABW2GR70_9ACTN	AlkA N-terminal domain-containing protein	ACFQO7_08590	Catellatospora aurea	489	UP001596392: Unassembled WGS sequence
A0ABW2H8J1	A0ABW2H8J1	unreviewed	A0ABW2H8J1_9MICO	DNA-3-methyladenine glycosylase 2 family protein	ACFQRL_01730	Microbacterium fluvii	533	UP001596507: Unassembled WGS sequence
A0ABW2HR67	A0ABW2HR67	unreviewed	A0ABW2HR67_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFQS1_16875	Paractinoplanes rhizophilus	487	UP001596548: Unassembled WGS sequence
A0ABW2ICH6	A0ABW2ICH6	unreviewed	A0ABW2ICH6_9BURK	AlkA N-terminal domain-containing protein	ACFQPC_11340	Herminiimonas glaciei	497	UP001596542: Unassembled WGS sequence
A0ABW2IL70	A0ABW2IL70	unreviewed	A0ABW2IL70_9PROT	AlkA N-terminal domain-containing protein	ACFQS8_09735	Hirschia litorea	494	UP001596492: Unassembled WGS sequence
A0ABW2J3Y7	A0ABW2J3Y7	unreviewed	A0ABW2J3Y7_9BURK	DNA-3-methyladenine glycosylase 2 family protein	ACFQO0_05805	Herminiimonas aquatilis	500	UP001596379: Unassembled WGS sequence
A0ABW2JC49	A0ABW2JC49	unreviewed	A0ABW2JC49_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFQVC_01900	Streptomyces monticola	458	UP001596523: Unassembled WGS sequence
A0ABW2JCM5	A0ABW2JCM5	unreviewed	A0ABW2JCM5_9ACTN	AlkA N-terminal domain-containing protein	ACFQVC_03355	Streptomyces monticola	502	UP001596523: Unassembled WGS sequence
A0ABW2KFK7	A0ABW2KFK7	unreviewed	A0ABW2KFK7_9ACTN	AlkA N-terminal domain-containing protein	ACFQRF_09435	Marinactinospora rubrisoli	495	UP001596540: Unassembled WGS sequence
A0ABW2LNP0	A0ABW2LNP0	unreviewed	A0ABW2LNP0_9PSEU	AlkA N-terminal domain-containing protein	ACFQRI_17630	Saccharopolyspora griseoalba	475	UP001596504: Unassembled WGS sequence
A0ABW2MBG9	A0ABW2MBG9	unreviewed	A0ABW2MBG9_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFQW9_16660	Streptomyces caviscabies	460	UP001596509: Unassembled WGS sequence
A0ABW2MEE1	A0ABW2MEE1	unreviewed	A0ABW2MEE1_9ACTN	AlkA N-terminal domain-containing protein	ACFQW9_11480	Streptomyces caviscabies	490	UP001596509: Unassembled WGS sequence
A0ABW2N2G2	A0ABW2N2G2	unreviewed	A0ABW2N2G2_9ACTN	AlkA N-terminal domain-containing protein	ACFQO6_14630	Nocardioides astragali	492	UP001596524: Unassembled WGS sequence
A0ABW2P2U8	A0ABW2P2U8	unreviewed	A0ABW2P2U8_9ACTN	AlkA N-terminal domain-containing protein	ACFQSB_09725	Sphaerisporangium rhizosphaerae	581	UP001596496: Unassembled WGS sequence
A0ABW2PR69	A0ABW2PR69	unreviewed	A0ABW2PR69_9BACL	DNA-3-methyladenine glycosylase family protein	ACFQO8_10905	Exiguobacterium aestuarii	297	UP001596439: Unassembled WGS sequence
A0ABW2QAB5	A0ABW2QAB5	unreviewed	A0ABW2QAB5_9MICO	AlkA N-terminal domain-containing protein	ACFQQL_05325	Georgenia alba	530	UP001596455: Unassembled WGS sequence
A0ABW2QLC3	A0ABW2QLC3	unreviewed	A0ABW2QLC3_9BURK	DNA-3-methyladenine glycosylase 2 family protein	ACFQPB_11275	Hydrogenophaga atypica	509	UP001596501: Unassembled WGS sequence
A0ABW2QZT1	A0ABW2QZT1	unreviewed	A0ABW2QZT1_9NEIS	Bifunctional transcriptional activator/DNA repair enzyme AdaA	ACFQNF_14345	Iodobacter arcticus	289	UP001596473: Unassembled WGS sequence
A0ABW2RDI1	A0ABW2RDI1	unreviewed	A0ABW2RDI1_9BURK	DNA-3-methyladenine glycosylase 2 family protein	ACFQNJ_16540	Hydrogenophaga bisanensis	506	UP001596495: Unassembled WGS sequence
A0ABW2RZA4	A0ABW2RZA4	unreviewed	A0ABW2RZA4_9NOCA	DNA-3-methyladenine glycosylase 2 family protein	ACFQS9_13295	Rhodococcus daqingensis	495	UP001596484: Unassembled WGS sequence
A0ABW2SGR3	A0ABW2SGR3	unreviewed	A0ABW2SGR3_9BURK	DNA-3-methyladenine glycosylase 2 family protein	ACFQU0_18630	Hydrogenophaga defluvii	509	UP001596457: Unassembled WGS sequence
A0ABW2T5B6	A0ABW2T5B6	unreviewed	A0ABW2T5B6_9ACTN	AlkA N-terminal domain-containing protein	ACFQVD_24335	Streptosporangium amethystogenes subsp. fukuiense	473	UP001596514: Unassembled WGS sequence
A0ABW2V6R8	A0ABW2V6R8	unreviewed	A0ABW2V6R8_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFQZP_00840	Streptomyces lutosisoli	498	UP001596957: Unassembled WGS sequence
A0ABW2V7M3	A0ABW2V7M3	unreviewed	A0ABW2V7M3_9BACL	DNA-3-methyladenine glycosylase family protein	ACFQWB_14215	Paenibacillus thermoaerophilus	298	UP001596528: Unassembled WGS sequence
A0ABW2VXD1	A0ABW2VXD1	unreviewed	A0ABW2VXD1_9ACTN	AlkA N-terminal domain-containing protein	ACFQZP_43220	Streptomyces lutosisoli	498	UP001596957: Unassembled WGS sequence
A0ABW2WF73	A0ABW2WF73	unreviewed	A0ABW2WF73_9ACTN	Bifunctional transcriptional activator/DNA repair enzyme AdaA	ACFQZ6_28345	Streptomyces flavalbus	481	UP001597023: Unassembled WGS sequence
A0ABW2WFM7	A0ABW2WFM7	unreviewed	A0ABW2WFM7_9ACTN	AlkA N-terminal domain-containing protein	ACFQZ6_29415	Streptomyces flavalbus	496	UP001597023: Unassembled WGS sequence
A0ABW2WV24	A0ABW2WV24	unreviewed	A0ABW2WV24_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFQ2K_16465	Streptomyces sanglieri	450	UP001596915: Unassembled WGS sequence
A0ABW2XH08	A0ABW2XH08	unreviewed	A0ABW2XH08_9ACTN	AlkA N-terminal domain-containing protein	ACFQZM_05825	Actinomadura fibrosa	490	UP001597063: Unassembled WGS sequence
A0ABW2YAS7	A0ABW2YAS7	unreviewed	A0ABW2YAS7_9GAMM	AlkA N-terminal domain-containing protein	ACFQ0E_08505	Lysobacter brunescens	503	UP001597110: Unassembled WGS sequence
A0ABW2YR53	A0ABW2YR53	unreviewed	A0ABW2YR53_9GAMM	AlkA N-terminal domain-containing protein	ACFQZQ_14575	Lysobacter koreensis	510	UP001597090: Unassembled WGS sequence
A0ABW2ZUK5	A0ABW2ZUK5	unreviewed	A0ABW2ZUK5_9MICO	DNA-3-methyladenine glycosylase 2 family protein	ACFQZV_12980	Microbacterium koreense	509	UP001597042: Unassembled WGS sequence
A0ABW3AIV3	A0ABW3AIV3	unreviewed	A0ABW3AIV3_9MICO	AlkA N-terminal domain-containing protein	ACFQ0P_09905	Microbacterium insulae	506	UP001597055: Unassembled WGS sequence
A0ABW3BKG2	A0ABW3BKG2	unreviewed	A0ABW3BKG2_9ACTN	DNA-3-methyladenine glycosylase 2	ACFQZU_18205	Streptomonospora algeriensis	452	UP001596956: Unassembled WGS sequence
A0ABW3E8S1	A0ABW3E8S1	unreviewed	A0ABW3E8S1_9ACTN	AlkA N-terminal domain-containing protein	ACFQ08_43340	Streptosporangium algeriense	214	UP001597024: Unassembled WGS sequence
A0ABW3EGP5	A0ABW3EGP5	unreviewed	A0ABW3EGP5_9ACTN	AlkA N-terminal domain-containing protein	ACFQ11_03190	Actinomadura sediminis	493	UP001596972: Unassembled WGS sequence
A0ABW3FL63	A0ABW3FL63	unreviewed	A0ABW3FL63_9PSEU	AlkA N-terminal domain-containing protein	ACFQ16_05670	Saccharopolyspora rosea	488	UP001597018: Unassembled WGS sequence
A0ABW3G439	A0ABW3G439	unreviewed	A0ABW3G439_9NOCA	Ada metal-binding domain-containing protein	ACFQ04_00980	Williamsia deligens	520	UP001597068: Unassembled WGS sequence
A0ABW3M079	A0ABW3M079	unreviewed	A0ABW3M079_9GAMM	AlkA N-terminal domain-containing protein	ACFQ2N_14525	Pseudoxanthomonas kaohsiungensis	512	UP001597033: Unassembled WGS sequence
A0ABW3PXS1	A0ABW3PXS1	unreviewed	A0ABW3PXS1_9BACL	DNA-3-methyladenine glycosylase 2	ACFQ3J_16925	Paenibacillus provencensis	318	UP001597169: Unassembled WGS sequence
A0ABW3QTI2	A0ABW3QTI2	unreviewed	A0ABW3QTI2_9PSEU	AlkA N-terminal domain-containing protein	ACFQ3T_12280	Saccharothrix hoggarensis	488	UP001597168: Unassembled WGS sequence
A0ABW3R0L3	A0ABW3R0L3	unreviewed	A0ABW3R0L3_9PSEU	DNA-3-methyladenine glycosylase 2 family protein	ACFQ3T_25250	Saccharothrix hoggarensis	422	UP001597168: Unassembled WGS sequence
A0ABW3T666	A0ABW3T666	unreviewed	A0ABW3T666_9CAUL	AlkA N-terminal domain-containing protein	ACFQ27_11135	Phenylobacterium conjunctum	499	UP001597216: Unassembled WGS sequence
A0ABW3TN29	A0ABW3TN29	unreviewed	A0ABW3TN29_9MICO	DNA-3-methyladenine glycosylase 2 family protein	ACFQ3U_07370	Leucobacter albus	530	UP001597181: Unassembled WGS sequence
A0ABW3UB29	A0ABW3UB29	unreviewed	A0ABW3UB29_9GAMM	AlkA N-terminal domain-containing protein	ACFQ2X_16175	Microbulbifer celer	495	UP001597264: Unassembled WGS sequence
A0ABW3VGW3	A0ABW3VGW3	unreviewed	A0ABW3VGW3_9PSEU	AlkA N-terminal domain-containing protein	ACFQ34_11415	Pseudonocardia benzenivorans	497	UP001597182: Unassembled WGS sequence
A0ABW3VXM7	A0ABW3VXM7	unreviewed	A0ABW3VXM7_9ACTN	AlkA N-terminal domain-containing protein	ACFQ3F_07040	Nocardioides ginsengisoli	493	UP001597229: Unassembled WGS sequence
A0ABW3WYR9	A0ABW3WYR9	unreviewed	A0ABW3WYR9_9HYPH	DNA-3-methyladenine glycosylase family protein	ACFQ4G_10190	Methylobacterium marchantiae	317	UP001597176: Unassembled WGS sequence
A0ABW3XB88	A0ABW3XB88	unreviewed	A0ABW3XB88_9ACTN	AlkA N-terminal domain-containing protein	ACFQ5X_10415	Streptomyces kaempferi	520	UP001597058: Unassembled WGS sequence
A0ABW3XVS9	A0ABW3XVS9	unreviewed	A0ABW3XVS9_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFQ5X_49175	Streptomyces kaempferi	491	UP001597058: Unassembled WGS sequence
A0ABW3YJK1	A0ABW3YJK1	unreviewed	A0ABW3YJK1_9ACTN	DNA-3-methyladenine glycosylase family protein	ACFQ4H_20580	Micromonospora sonneratiae	333	UP001597260: Unassembled WGS sequence
A0ABW4ATJ5	A0ABW4ATJ5	unreviewed	A0ABW4ATJ5_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFQ5G_49880	Actinoplanes sichuanensis	490	UP001597183: Unassembled WGS sequence
A0ABW4F0U0	A0ABW4F0U0	unreviewed	A0ABW4F0U0_9PSEU	DNA-3-methyladenine glycosylase 2 family protein	ACFSJD_26835	Pseudonocardia yunnanensis	508	UP001597114: Unassembled WGS sequence
A0ABW4FSM4	A0ABW4FSM4	unreviewed	A0ABW4FSM4_9PSEU	AlkA N-terminal domain-containing protein	ACFSCY_28170	Pseudonocardia aurantiaca	518	UP001597145: Unassembled WGS sequence
A0ABW4G1Y9	A0ABW4G1Y9	unreviewed	A0ABW4G1Y9_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFSJ0_06965	Nonomuraea guangzhouensis	454	UP001597097: Unassembled WGS sequence
A0ABW4GHJ1	A0ABW4GHJ1	unreviewed	A0ABW4GHJ1_9ACTN	Ada metal-binding domain-containing protein	ACFSJ0_34660	Nonomuraea guangzhouensis	480	UP001597097: Unassembled WGS sequence
A0ABW4GS79	A0ABW4GS79	unreviewed	A0ABW4GS79_9ACTN	AlkA N-terminal domain-containing protein	ACFSJ0_49675	Nonomuraea guangzhouensis	513	UP001597097: Unassembled WGS sequence
A0ABW4IYX4	A0ABW4IYX4	unreviewed	A0ABW4IYX4_9ACTN	AlkA N-terminal domain-containing protein	ACFSL4_30620	Streptomyces caeni	492	UP001597261: Unassembled WGS sequence
A0ABW4J3K7	A0ABW4J3K7	unreviewed	A0ABW4J3K7_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	ACFSL4_36100	Streptomyces caeni	491	UP001597261: Unassembled WGS sequence
A0ABW4JMS4	A0ABW4JMS4	unreviewed	A0ABW4JMS4_9BACL	DNA-3-methyladenine glycosylase family protein	ACFSB2_16930	Alicyclobacillus fodiniaquatilis	326	UP001597079: Unassembled WGS sequence
A0ABW4L0D7	A0ABW4L0D7	unreviewed	A0ABW4L0D7_9BURK	DNA-3-methyladenine glycosylase 2 family protein	ACFSF0_17925	Ottowia flava	509	UP001597304: Unassembled WGS sequence
A0ABW4L236	A0ABW4L236	unreviewed	A0ABW4L236_9MICO	AlkA N-terminal domain-containing protein	ACFSE6_06670	Georgenia deserti	542	UP001597277: Unassembled WGS sequence
A0ABW4LD97	A0ABW4LD97	unreviewed	A0ABW4LD97_9MICO	DNA-3-methyladenine glycosylase family protein	ACFSBI_08165	Amnibacterium endophyticum	294	UP001597347: Unassembled WGS sequence
A0ABW4N6Y9	A0ABW4N6Y9	unreviewed	A0ABW4N6Y9_9CAUL	AlkA N-terminal domain-containing protein	ACFSC0_20205	Phenylobacterium terrae	502	UP001597237: Unassembled WGS sequence
A0ABW4NZ10	A0ABW4NZ10	unreviewed	A0ABW4NZ10_9NOCA	AlkA N-terminal domain-containing protein	ACFSJG_04335	Rhodococcus gannanensis	494	UP001597286: Unassembled WGS sequence
A0ABW4PJF9	A0ABW4PJF9	unreviewed	A0ABW4PJF9_9ACTN	AlkA N-terminal domain-containing protein	ACFSJS_14585	Streptomyces desertarenae	502	UP001597365: Unassembled WGS sequence
A0ABW4PZ00	A0ABW4PZ00	unreviewed	A0ABW4PZ00_9MICO	DNA-3-methyladenine glycosylase family protein	ACFSDA_12800	Brachybacterium rhamnosum	281	UP001597280: Unassembled WGS sequence
A0ABW4Q3Z5	A0ABW4Q3Z5	unreviewed	A0ABW4Q3Z5_9MICC	DNA-3-methyladenine glycosylase family protein	ACFSFX_02450	Arthrobacter flavus	291	UP001597307: Unassembled WGS sequence
A0ABW4Q9C8	A0ABW4Q9C8	unreviewed	A0ABW4Q9C8_9MICC	Ada metal-binding domain-containing protein	ACFSFX_12030	Arthrobacter flavus	511	UP001597307: Unassembled WGS sequence
A0ABW4RUS3	A0ABW4RUS3	unreviewed	A0ABW4RUS3_9ACTN	DNA-3-methyladenine glycosylase family protein	ACFSCS_05055	Luteococcus peritonei	283	UP001597326: Unassembled WGS sequence
